iter	RMSE
0	1728107.286
1	1644837.629
2	1565188.679
3	1492002.046
4	1428101.982
5	1378873.261
6	1325115.026
7	1280214.087
8	1237066.197
9	1201857.144
10	1169023.864
11	1141466.187
12	1114026.471
13	1090158.031
14	1067297.824
15	1044859.25
16	1026768.265
17	1011186.094
18	993112.5848
19	978028.0971
20	964173.1719
21	951240.1071
22	939547.3636
23	928745.3325
24	915646.1005
25	909886.5047
26	903348.8733
27	891955.5215
28	880848.1885
29	873955.7107
30	866299.6714
31	858671.3636
32	850835.3765
33	845133.8048
34	838217.685
35	833401.4049
36	828005.7532
37	822315.3537
38	817539.7328
39	811573.5863
40	804337.1948
41	798166.0332
42	794175.0453
43	790833.8201
44	787972.0403
45	785099.0785
46	780127.5269
47	776551.4169
48	772236.8177
49	765286.9937
50	757322.9123
51	754555.1241
52	749577.2171
53	746899.3174
54	745282.8057
55	740559.1481
56	737666.6781
57	736106.6155
58	733713.7666
59	731588.1615
60	730253.189
61	725701.4141
62	722549.5529
63	719105.9058
64	715408.5676
65	712847.099
66	708508.0967
67	707407.0401
68	705083.4338
69	703785.7006
70	701610.1139
71	699544.7279
72	696195.4074
73	693397.5891
74	689745.7955
75	688106.1979
76	686578.7887
77	684637.733
78	681265.1159
79	678737.0282
80	675759.6696
81	673032.2967
82	670700.2225
83	667573.8575
84	665344.4976
85	661576.6589
86	659128.8832
87	656601.1872
88	654601.491
89	653133.6263
90	649399.6826
91	648108.5325
92	645516.1199
93	643557.6468
94	640572.3125
95	637915.3823
96	636574.8965
97	634859.1183
98	633276.0845
99	632906.5499
