iter	Passed	Remaining
0	2	233
1	4	200
2	5	183
3	7	174
4	8	166
5	10	170
6	13	182
7	15	177
8	16	169
9	18	165
10	19	161
11	21	156
12	22	152
13	24	147
14	25	145
15	27	144
16	30	146
17	32	146
18	34	145
19	35	143
20	37	140
21	38	137
22	40	133
23	41	130
24	42	128
25	44	125
26	45	122
27	46	120
28	48	118
29	50	118
30	52	115
31	53	113
32	55	113
33	57	111
34	58	109
35	60	107
36	61	104
37	62	102
38	65	101
39	66	99
40	67	97
41	69	95
42	71	94
43	72	92
44	74	90
45	75	88
46	77	86
47	78	85
48	80	83
49	81	81
50	82	79
51	84	77
52	85	75
53	87	74
54	88	72
55	90	70
56	91	69
57	93	67
58	94	65
59	96	64
60	97	62
61	98	60
62	99	58
63	101	56
64	103	55
65	104	53
66	106	52
67	107	50
68	108	48
69	110	47
70	111	45
71	112	43
72	114	42
73	115	40
74	116	38
75	117	37
76	119	35
77	120	34
78	122	32
79	123	30
80	125	29
81	126	27
82	127	26
83	129	24
84	131	23
85	132	21
86	133	19
87	135	18
88	136	16
89	137	15
90	139	13
91	140	12
92	141	10
93	142	9
94	144	7
95	145	6
96	146	4
97	148	3
98	149	1
99	151	0
